"","plotid","npp","siteid","plot","mean.height","height.2","mean.height.var","mean.height.rms","transect.length","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","plot_1","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl","X","aPAR_mean","bPAR_mean","tau_mean","LAI_mean","fPAR_mean","aPAR_sd","bPAR_sd","tau_sd","LAI_sd","fPAR_sd","regime_sd"
"1","BART_033",1.95735451023415,"BART",NA,10.1174987496667,3.096285819,9.74603692733333,10.57477166,40,10.05,4.70669506233333,4.60419785566667,21.249,14.454975,7.709448127,2.81111278,0,0,0.594728535333333,208.977265566667,11.6657999666667,8.18366026966667,3.23014267433333,NA,6.49720383133333,3.633561671,0.846309015333333,99.1536909866667,21.6143333333333,311.583333333333,3.65,0.832101620666667,15.8531289066667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BART_036",2.5363363718956,"BART",NA,8.40253749133333,3.063505383,9.70996732566667,8.94139026666667,40,7.75833333333333,5.82719701233333,4.906421758,21.4173333333333,13.9254083333333,7.294269211,2.94537767766667,0,0,0.631346618333333,361.4320999,14.46049278,11.9154256476667,4.517199202,NA,5.349938295,3.66114440266667,2.72781971733333,97.2721802833333,21.4173333333333,335.45,4.49166666666667,0.854698279333333,16.1951237066667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BART_037",2.05493206089543,"BART",NA,11.8276951266667,3.807070847,14.7497553663333,12.4329378066667,40,12.025,5.67881341066667,5.37334380966667,23.118,16.5854166666667,7.522056497,2.84648280733333,0,0,0.630594203,277.600684133333,13.5402801666667,9.02337514233333,3.838469773,NA,8.15055246666667,4.35422942633333,1.46488499833333,98.5351150033333,23.118,306.683333333333,3.98333333333333,0.861650522333333,17.9228958833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BART_039",1.13576143948109,"BART",NA,8.80221144733333,3.365406159,11.5124857183333,9.41690492133333,40,7.95,6.93941531466667,4.64053834233333,21.229,12.9739416666667,6.96604316566667,3.06466224933333,0,0,0.659522947,189.413923516667,9.682652683,9.397052683,4.34232601866667,NA,6.01489882666667,3.77371730633333,4.751720267,95.2482797333333,21.229,329.616666666667,4.39166666666667,0.868410158,15.6348447966667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BART_046",4.55325753388553,"BART",NA,9.90355119366667,3.66443957366667,13.8460543986667,10.5623873966667,40,10.1083333333333,5.908560942,5.299867393,23.312,14.8419583333333,7.25065068366667,2.94314618433333,0,0,0.676855072333333,339.0511145,13.55117602,12.0364692943333,5.03938184066667,NA,6.78002520266667,4.112472732,3.11831635966667,96.8816836433333,23.312,321.791666666667,5.275,0.892573810333333,17.9420387433333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BART_050",6.54353051316888,"BART",NA,8.67491493733333,3.16337853766667,10.1525724916667,9.22696961066667,40,8.55,7.273904463,4.04980306733333,21.0373333333333,11.442025,7.44183884033333,3.35109251266667,0,0,0.678342637,122.37093474,6.79979147466667,8.102680338,4.75270972766667,NA,5.990878927,3.145781496,3.95516098133333,96.0448390166667,21.0373333333333,318.958333333333,4.725,0.825299498333333,13.7555524833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BART_072",4.94619821979145,"BART",NA,8.325919391,3.09923687633333,9.66643028666667,8.874695507,40,8.29166666666667,6.567641788,4.301595447,19.2396666666667,12.05335,7.86389434133333,3.31034875466667,0,0,0.639053030333333,171.43452299,9.80995644066667,7.98182455466667,4.490473249,NA,5.179547919,3.00917318233333,0.177528385333333,99.8224716166667,19.2396666666667,325.425,4.09166666666667,0.844406193,14.5366937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","GRSM_050",18.6321550514128,"GRSM",NA,10.4225564245,4.9294687985,26.22053794,11.5470960875,37.5,9.8479166675,6.99852435075,6.3198524135,29.5785,17.18154375,6.628538159,3.05181719575,0,0,0.730516493,755.4666991,17.5815227925,19.9581296825,7.38560329725,NA,7.1821723425,5.264063717,14.2851872945,85.714812705,29.5785,684.966666675,5.19791666675,0.9048453895,21.8406906325,11,1712.066667,38,0.017333333,6.713333333,0.977587429,183.0839789,3.351119216,0.004932883,0.44613152,0.003465418,0
"9","GRSM_053",14.023428386873,"GRSM",NA,14.0485179233333,9.150408378,85.74128473,16.7261658266667,40,13.0333333333333,7.646812445,11.749432485,39.3966666666667,21.7865166666667,7.36456248333333,3.742664918,0,0,0.792434371,6757.02045,50.04142202,62.6752296366667,13.1492504233333,NA,9.367962521,9.57340102566667,1.68680686033333,98.31319314,39.3966666666667,569.141666666667,10.4333333333333,0.929263587666667,28.7462818933333,12,1907.95,52.65,0.027,8.375,0.972462893,56.92209589,8.980256121,0.004242641,0.473761543,0.00388521,0
"10","GRSM_055",15.3576849993439,"GRSM",NA,13.1479411966667,7.169904905,51.83857967,14.9833680933333,40,13.025,7.73634093633333,9.56333581633333,36.533,21.368125,7.33759360933333,3.258531242,0,0,0.767024666333333,3000.251193,36.9938916433333,39.7393224966667,10.1612270363333,NA,8.09901075666667,7.11575593566667,2.608756396,97.3912436033333,36.533,570.175,8.99166666666667,0.934219322666667,27.4227820166667,13,1990.9,71.36666667,0.035,8.76,0.964101553,17.54536976,40.8677542,0.020420578,0.400374824,0.020564864,0
