"","siteid","plotid_mean","n_mean","richness_mean","simpsons.taxon_mean","shannon.taxon_mean","simpsons.genus_mean","shannon.genus_mean","simpsons.fam_mean","shannon.fam_mean","genus.rich_mean","family.rich_mean","plot_mean","mean.height_mean","height.2_mean","mean.height.var_mean","mean.height.rms_mean","mode.el_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","mean.peak.vai_mean","deep.gaps_mean","deep.gap.fraction_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","scan.density_mean","rumple_mean","clumping.index_mean","enl_mean","plotid_sd","n_sd","richness_sd","simpsons.taxon_sd","shannon.taxon_sd","simpsons.genus_sd","shannon.genus_sd","simpsons.fam_sd","shannon.fam_sd","genus.rich_sd","family.rich_sd","plot_sd","mean.height_sd","height.2_sd","mean.height.var_sd","mean.height.rms_sd","mode.el_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","mean.peak.vai_sd","deep.gaps_sd","deep.gap.fraction_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","scan.density_sd","rumple_sd","clumping.index_sd","enl_sd","normal"
"1","BART",NA,164.666666666667,9.46666666666667,0.681298026990143,1.39981691054459,0.654553137037763,1.26849818882438,0.643920584134384,1.20463300159076,7.26666666666667,5.53333333333333,NA,9.37066883204444,3.31092298611111,11.2126333947333,9.93726542082222,9.23166666666667,6.47087796117778,4.68166008677778,21.4894222222222,13.5714783333333,7.41598036051111,3.07773320188889,0,0,0.6470355692,214.103581384222,10.6232719630667,9.16712442457778,4.39415363664444,6.32461705646667,3.66306650877778,2.31175823511111,97.6882417655556,21.5137777777778,316.837777777778,4.335,0.861171638355556,15.9190135097778,5.52224936916453,68.7237395733991,3.90725820322469,0.0709309325765373,0.197957424630821,0.0754980670319684,0.160645693274153,0.0759319357171679,0.155292336592661,2.52039301546028,1.92230020944651,NA,1.0225327577691,0.320594614351543,2.13081038852345,1.03379990576425,1.25524376308425,0.72608103180357,0.547701490592371,1.61272426257248,1.32480941198473,0.258751465865301,0.197953083309981,0,0,0.0320496370211524,91.6687184731256,2.50570406906021,2.06375931791213,0.625362973145545,0.791846043406967,0.385161270604784,1.28023124401086,1.28023124470825,1.61159228501557,12.2072642416125,0.456806982266711,0.0245719402736631,1.35830738079332,0.426104820792877
"2","GRSM",NA,116,15.8,0.666379121334025,1.59904176133464,0.651197068900793,1.47812623295279,0.647278615996906,1.43175006585638,13.1,11.5,NA,13.06549540535,6.28732482693333,42.1382039565,14.5280916029167,12.64387500025,7.19309462525833,8.55532086636667,33.5043833333333,20.3620157918333,7.00054247163333,3.10617713924167,0,0,0.736534330933333,2547.75321793167,31.7134369624167,33.6312907485833,8.90028018065833,8.93256757421667,6.91692730358333,5.78703401426667,94.2129659856667,33.5043833333333,610.6955833325,7.42504166669167,0.91554838005,24.97757921975,5.30094331227943,37.9648960664103,3.04776785350999,0.155459468991097,0.44537823116522,0.154738303938788,0.434916682424422,0.151749421368922,0.403966716779233,2.68535120814971,2.12132034355964,NA,2.38131911534872,1.37565905276464,19.0817434559986,2.52024665455566,2.43814148004214,0.589472311429046,1.63953360176081,4.18963745599238,2.4879877884789,0.430967334973811,0.385235103711888,0,0,0.0498104280532372,1784.53889306537,9.63725301597883,13.2549225302401,2.16960231130892,2.26936134684607,1.42801838836549,4.59420050543071,4.5942005060345,4.18963745599238,50.2026490144977,1.98958641601296,0.0148013381507803,2.97722682278692,1.00378778543653
"3","HARV",NA,301.842105263158,12.4736842105263,0.673619358068156,1.46399229785114,0.659155737386223,1.35872426923384,0.609861734290294,1.15999493318887,9.78947368421053,7.21052631578947,NA,9.65312153399123,3.93580768449123,16.3037896690614,10.4518547883684,9.68355263157895,6.82359571989474,5.32373378185965,22.7207368421053,13.4702155701754,7.50865492261403,3.44380105016667,0,0,0.690113863780702,419.610615802895,12.5212042922719,13.6594032596491,5.3268024105614,6.6691173652193,4.46920050124561,1.78846070480702,98.2115392958772,22.8495614035088,344.035745614035,4.68355263157895,0.854653802035088,16.1009263366667,6.01897584107451,104.174140082788,3.59580652446756,0.10207868626549,0.261932422141974,0.0977460310416998,0.232497727726816,0.10770569160924,0.204126859621518,2.12338690064354,1.39757517660733,NA,1.75113734848946,0.774553965783826,6.04078291877398,1.71773654468236,1.78413872524061,0.687264266885731,1.13163205219827,2.70480518873344,2.4561567028895,0.271103215338336,0.284353909517749,0,0,0.0526402372709363,323.42301143427,5.22777581145761,5.69414117633799,1.33073138432648,1.51356112599929,0.924041894699578,1.21488425160334,1.21488425144183,2.58072476494069,64.1396417854942,0.89829493158598,0.0640545887909364,3.07476112145681,0.59779717511565
"4","OSBS",NA,95.6,3.75,0.294991939336471,0.478881953505303,0.289164943363393,0.452279767517803,0.289164943363393,0.452279767517803,3.55,3.5,NA,6.01559875972917,5.0171388072625,26.34336137725,7.92087082175417,5.79979166665833,6.33433330084167,4.970992597075,15.490475,6.635555076375,2.4808058043875,1.43413314159167,16.1416666666667,0.402652777791667,0.863965633016667,7.11510345310417,1.04608149730833,1.854743646275,5.4608042237875,9.076515191925,2.7978304823625,58.101716642,41.8982833579,16.660875,340.581798610833,3.08355555554167,0.939680000295833,9.8184624127625,5.91607978309962,43.2877763225067,1.33278497495796,0.151838928885805,0.214079093347811,0.145940951324864,0.18772968090582,0.145940951324864,0.18772968090582,1.14593101656986,1.10023920844036,NA,1.71021015409144,0.846826245105577,8.7862592893471,1.58884416848495,1.67872667116454,0.969081095698969,0.870608456190208,2.46293780700102,2.01553691034124,0.987677874975771,0.539778212358403,5.96708197123703,0.153168783937683,0.0456404385940164,9.03691374967531,0.67462751125353,1.06723627474361,0.915719615257029,1.51311728237981,0.662247645209935,15.2953694632913,15.2953694634982,5.74626494323749,186.964095655283,0.461887008366326,0.0233910052821917,2.32365369392122,0.11132330362451
"5","SCBI",NA,113.666666666667,16.6666666666667,0.727843576341998,1.8677238355267,0.69895324668761,1.68094795416125,0.680807700133993,1.55404892858373,12.8333333333333,10.5,NA,12.9999861383333,6.02175384116667,36.9750765191667,14.3256332869444,12.4784722222222,6.353349203,8.11501695738889,30.0430277777778,19.7289868055556,6.83601453397222,3.08572451855556,0.25,0.00625,0.745894272027778,1361.46668281944,24.8501839316667,23.8924838491667,6.786198175,10.0458801945278,6.97602252602778,5.34986925813889,94.6501307419444,30.0836944444444,393.632638888889,5.11319444444444,0.9270385635,22.9307036991667,7.3143694191639,41.0349444579454,5.98887858172685,0.236041296985418,0.666763158865568,0.223616172983166,0.582222771762717,0.214158202244936,0.527944299801759,3.7638632635454,2.66458251889485,NA,0.859874451363072,0.560300949567608,6.78580217012204,0.878248768951569,0.798007138764133,0.388501339932778,1.09524042488317,2.61112929467664,2.3383809413341,0.122083113639401,0.116227621235205,0.612372435695794,0.0153093108923949,0.0162453633767378,912.360238791728,9.74083346364118,7.64662095610768,0.74733604007212,1.00786753775956,1.0096674029246,1.21837375516415,1.21837375404634,2.58134005555398,55.3989148520294,0.571258458888664,0.0252187452218784,1.55853895717784,0.794200456107175
"6","SERC",NA,100.923076923077,12.2307692307692,0.708462722178597,1.58263461164035,0.686226611379514,1.46216161924005,0.637324771667615,1.30720792316961,10.3076923076923,9.30769230769231,NA,9.42515603216667,4.71951948726923,24.763815131641,10.5368943550641,9.11807692307692,6.8005554160641,6.4969156565,31.6552820512821,15.6948394017949,7.43411062258974,3.35476148610256,0.0512820512820513,0.00128205128205128,0.776825225051282,1556.59592999641,22.100601158282,28.3023880956923,8.12695492455128,6.22009019565385,5.04173813512821,2.35579209042308,97.6442079094872,31.6552820512821,426.034423076923,6.44288461538462,0.821361060230769,18.2015727484615,5.20478083974182,25.7502800582231,3.13990037405239,0.123852227153135,0.343643008782323,0.116034263322988,0.309368722317834,0.112889014022671,0.311527545875222,1.9315199276138,2.21301511459725,NA,2.03884412061831,1.37143491941319,13.1117200870986,2.40195608123422,1.97467262830073,0.538400886139564,1.6828401818836,4.56410007781371,3.7415606850628,0.297887983409066,0.213503068603312,0.125177936033135,0.00312944840082838,0.0418713435014629,970.410683573734,9.90894091206916,9.50307595014655,1.76299410781747,1.62745837561994,1.76317152197913,1.67373684116181,1.67373684136807,4.56410007781371,31.3375104953975,1.20754843355172,0.119439426971032,5.60800873717254,0.894081058884328
"7","TALL",NA,113.833333333333,18.25,0.653961124553715,1.56697984736237,0.478189261346326,1.06774247142552,0.474708101624275,1.03852569913696,10.0833333333333,9.25,NA,13.9316732581639,5.65110100185417,36.5747738371583,15.1479160590306,13.5971342591667,6.08866157519722,6.49540099236528,26.3374847222222,17.7923173633889,4.81564791435139,2.16924050540972,2.63888888888889,0.0689004629722222,0.750468999829167,375.984802028806,10.7289250473917,12.4862822019667,6.39789332141111,12.8933612468083,5.17827431033333,28.2601174642917,71.7398825355972,26.7030680555556,681.512756943889,4.44201157408333,0.892925419097222,17.976030619375,5.68624070307733,32.3386437376072,6.23953669608715,0.266469901731981,0.723542401980575,0.306799128903921,0.711027295678352,0.302409676946961,0.672632959454308,3.28794860978788,2.83244192751189,NA,2.64863966999134,1.71879883292602,20.2773295799178,3.03379576935325,2.54349953075884,1.12211115186027,1.67236673689531,4.85082807548901,3.12423712018222,1.53990773899049,0.738161498417282,2.95148766917286,0.0765186331356545,0.0663008783782661,359.0465457864,5.91147242384135,6.52127901009577,1.81474180856658,3.89905515985518,1.38939101622046,19.1707615825526,19.1707615823902,4.72104829081048,154.05778758085,0.838395571679618,0.0453756948921231,4.66577723623205,0.467597287921711
"8","TREE",NA,66.4,7.5,0.530638641738863,1.06755590642151,0.361323983402239,0.752278462596392,0.325053008782848,0.593563950658366,6.2,4,NA,10.7523917052333,5.00053912816667,26.2482788360333,11.9305755879667,10.5686111111,6.530335596,5.54831351783333,22.438,13.1329072223333,4.94308886503333,2.42430398233333,4.53333333333333,0.113333333333333,0.7739171784,141.451743134667,6.42314457113333,8.70505546756667,6.0268769801,9.59016854743333,4.295409424,31.8810838523333,68.1189161476667,22.4464666666667,597.704444443333,4.3486111111,0.9135894275,15.193157726,5.89161362540952,22.9017224000486,2.63523138347365,0.154768335027542,0.383433640116927,0.257145875451959,0.511201540052286,0.217212424035294,0.371274149883914,2.39443799947573,1.56347191994114,NA,2.56213605830459,0.818422567920654,8.20962566442648,2.43998864906754,2.67684241963989,0.838955011495381,0.735832524494257,4.05737176987916,2.78060999261443,1.50557955833429,0.784312897418947,2.65367204240501,0.0663418010601252,0.0341357202694336,81.9604139990043,2.15549124606526,2.72124163553655,1.00944022884637,2.44705330164985,0.462745903724849,13.7919877228021,13.7919877227583,4.08289828128361,104.382120279401,0.527464575691646,0.0260253075505804,1.70083089197438,0.387814064317472
"9","UNDE",NA,136.5,9,0.486304768757187,1.03125468664694,0.418467735605642,0.798842600464686,0.40645392418506,0.743018680110533,7.375,5.5,NA,11.8416568859792,4.36780775794792,20.1882870928229,12.677407391375,11.6639409719792,6.70200150107292,5.490929878125,22.8747604166667,15.7725073261458,6.11943409521875,2.88668426935417,0.541666666666667,0.0125,0.712526163489583,284.770508928437,10.4467905999688,11.8190163079792,4.74968877040625,9.1648376366875,5.04445514452083,13.9460168271979,86.0539831733333,23.0032604166667,597.178107636458,4.41868055555208,0.884482996572917,16.7342880808333,4.54933276112317,35.6611032599145,4.24264068711928,0.291195477088761,0.608606566475198,0.24733714975142,0.470167553500993,0.237255018345556,0.41651423818146,3.50255009141299,1.77281052085584,NA,3.91087366424357,0.817531315509788,6.78080183781565,3.79827361334832,4.09541128904002,0.701463222952724,1.0146134333025,2.07444478297546,3.86895295395864,0.674650215855121,0.327870228431314,0.501980205769238,0.0113038833052088,0.0151750400684871,156.619536403011,3.28780238504674,3.09458502505723,1.22253930648434,3.28701858484956,0.857498732139075,6.61929218561267,6.61929218586226,2.10086739523845,73.4175410066767,1.34253222060785,0.0671469237873545,3.01685833138173,0.513797439749709
"10","MLBS",NA,105.444444444444,12.5555555555556,0.79857176383825,1.9036957302197,0.666300605488875,1.36622034393889,0.65943369991818,1.32537586113861,8.77777777777778,7.77777777777778,NA,10.796198945463,3.71168224972222,14.2039849928148,11.4313179640556,10.4177777777778,6.32703775244444,5.09332651157407,19.8731296296296,14.8592864814815,6.83618974498148,3.09086009125926,0.222222222222222,0.00555555555555555,0.658312309981481,278.510757635741,11.5282441556111,10.4579491528333,3.86912799716667,8.33096359312963,4.70371234207407,5.4504515505,94.5495484492593,19.9398703703704,362.915648148148,3.1625,0.89087188412963,15.7045851551852,5.09356892997871,33.7420772593772,1.74005108481843,0.0426340173751392,0.128081328026523,0.0770655719155216,0.166564840227319,0.084046423307286,0.200876539150529,1.64147630029935,1.56347191994114,NA,1.75912533428198,0.532176742702913,4.36756106253497,1.70570027955092,1.87535769736217,0.649519162579444,0.495011271512047,1.16277234497324,1.78527896321622,0.567014402056642,0.34941947625208,0.666666666666667,0.0166666666666667,0.017853203928901,154.732624970933,2.91574655800548,2.49224825095858,0.982915922355416,1.91676754429974,0.357752703857672,3.8338423755778,3.83384237582368,1.12416235413609,32.3851647593338,0.40181878170804,0.0347075140383945,0.87668781524555,0.524474279851554
