"","plotid","siteid","n","richness","simpsons.taxon","shannon.taxon","simpsons.genus","shannon.genus","simpsons.fam","shannon.fam","genus.rich","family.rich"
"1","BART_032","BART",139,11,0.668803239522151,1.43211196316049,0.631105008986343,1.22796052935439,0.627361086187633,1.15365076241185,8,6
"2","BART_033","BART",176,9,0.595632978878566,1.07219556778638,0.605764097123684,1.10665921672787,0.605764097123684,1.10665921672787,7,6
"3","BART_034","BART",163,6,0.72982419878831,1.44941144709643,0.72982419878831,1.44941144709643,0.720119514929239,1.38564406600902,6,5
"4","BART_036","BART",147,9,0.695938996626124,1.45986059057575,0.674551552600918,1.28040941198712,0.672208235346682,1.2382764332111,6,4
"5","BART_037","BART",174,8,0.643944034468769,1.34653050329417,0.621343865620594,1.18691238430542,0.621343865620594,1.18691238430542,6,5
"6","BART_039","BART",170,9,0.732977911695633,1.50014046284595,0.7033490803676,1.30339026306779,0.695419710772878,1.25360402680702,7,5
"7","BART_040","BART",90,14,0.697187150084908,1.51916336557674,0.509498704691294,1.0689485370789,0.508013226556177,1.02794301067333,11,8
"8","BART_041","BART",150,8,0.766795295895213,1.63223694887134,0.735258031575875,1.41134399738992,0.728480354924449,1.34543682616785,5,4
"9","BART_042","BART",129,11,0.80926344956526,1.82923048101971,0.795801975600791,1.69770419268137,0.767673122176277,1.531331750693,8,6
"10","BART_044","BART",156,6,0.641367296213119,1.2177495932095,0.638349229968529,1.16531996396558,0.638349229968529,1.16531996396558,5,4
"11","BART_046","BART",229,12,0.749518671865885,1.60314072165702,0.713437534202692,1.40092965930553,0.713025350087844,1.39005880371589,9,7
"12","BART_047","BART",370,20,0.712719111829863,1.55905159698344,0.653985782357973,1.27819884427969,0.651918352146564,1.22871906843043,13,10
"13","BART_050","BART",181,12,0.650532319967061,1.46129626807618,0.645218624314801,1.40645512923548,0.615560853305678,1.28094615885333,10,8
"14","BART_051","BART",156,10,0.693378916352,1.47812263235235,0.685210308275226,1.40619946432273,0.609030042324666,1.08636398753672,8,5
"15","BART_070","BART",178,12,0.709426037521698,1.54945194679473,0.704092770035552,1.48948904522011,0.68258520535904,1.37982729766387,9,7
"16","BART_071","BART",150,12,0.804847015410164,1.97659525242712,0.745177909691064,1.60055159034602,0.732534939376531,1.45045646522827,8,5
"17","BART_072","BART",92,5,0.706525088585054,1.31803832298199,0.706525088585054,1.31803832298199,0.704263722432241,1.2964044451369,5,4
"18","BART_073","BART",134,9,0.718228453021614,1.46374016856109,0.713008732361029,1.37047323002942,0.70386503188804,1.2840555388866,7,5
"19","BART_074","BART",82,5,0.48489998058002,0.916575468300517,0.482972224732864,0.874782960591833,0.471447174588493,0.793151093434312,4,3
"20","BART_075","BART",233,10,0.694523391615573,1.49982182244023,0.685835581133902,1.40352616564237,0.668565531986011,1.32715340767996,8,7
"21","DELA_037","DELA",242,30,0.89446367098304,2.49307934207276,0.805079752255099,1.88473508843529,0.78813232703286,1.75803433162759,14,12
"22","DELA_038","DELA",173,28,0.917950993345332,2.75881507132537,0.857619902995865,2.08048979053634,0.84545241245202,1.99161318528748,11,10
"23","DELA_039","DELA",137,21,0.818606697729642,2.02226439190762,0.763730330690938,1.62505417187382,0.762674068853096,1.615039791034,12,11
"24","DELA_040","DELA",95,19,0.811674250220058,2.08096915579661,0.77181953820074,1.74995882333266,0.765132827488563,1.66127400966044,12,10
"25","DELA_041","DELA",125,16,0.503289819749777,1.26965839742262,0.464788260342025,1.00771522710557,0.464788260342025,1.00771522710557,8,8
"26","DELA_042","DELA",108,21,0.799233255566847,2.04594142898914,0.530616911032865,1.15283881942475,0.530202716290928,1.1329698112217,12,10
"27","DELA_043","DELA",116,25,0.850054947971204,2.33662619352428,0.794687200997983,1.93711685830914,0.752587903318186,1.77367438568589,12,11
"28","DELA_044","DELA",184,23,0.887019259738324,2.47938354245454,0.791458989786662,1.78982143163145,0.791458989786662,1.78982143163145,13,13
"29","DELA_045","DELA",103,20,0.794704835264872,1.87239533839202,0.622353391724337,1.36598688464537,0.622269589821222,1.360660490674,13,11
"30","DELA_046","DELA",110,19,0.895546863134986,2.46829833588504,0.859557165176905,2.05970825952889,0.802499753565503,1.82926096676183,10,9
"31","DELA_047","DELA",250,35,0.885849457544482,2.69098368851294,0.787012711414944,1.84087256553781,0.780554803279638,1.75456775772162,15,12
"32","DELA_048","DELA",151,28,0.848397168748471,2.30334344399397,0.667693014019172,1.57185803415164,0.649902362804961,1.39437654222645,11,9
"33","DELA_049","DELA",23,10,1,0,1,0,1,0,6,6
"34","DELA_050","DELA",247,30,0.908125230096592,2.64253842246635,0.820808226736555,1.83692661707854,0.805855549714093,1.72769771978311,12,11
"35","DELA_051","DELA",114,19,0.839857300141399,2.19054813635009,0.797436492885375,1.8323812010852,0.772572200508967,1.69161066751597,10,9
"36","DELA_052","DELA",185,26,0.916345940430242,2.70249541377614,0.815690755188879,1.92565376998002,0.805655428315527,1.84181774535695,13,12
"37","DELA_053","DELA",110,23,0.835314465636533,2.17491320648104,0.75048113236851,1.57613422780492,0.743896565704889,1.50801176578637,11,9
"38","DELA_054","DELA",107,24,0.779192756956017,2.00065086895954,0.541314000962369,1.25655693534815,0.536976594604094,1.20280138602308,13,11
"39","DELA_055","DELA",129,19,0.888937911390262,2.4442555740879,0.852592228455424,2.06468185107582,0.852592228455424,2.06468185107582,11,11
"40","DELA_056","DELA",115,21,0.899987797870575,2.47297621473724,0.775066202302755,1.73392504522618,0.760411338279251,1.59164131001474,11,9
"41","GRSM_047","GRSM",119,13,0.865963341518627,2.14554300494857,0.827381601613721,1.97760115681383,0.807526649241981,1.78330270334978,10,8
"42","GRSM_048","GRSM",101,22,0.904564218122754,2.51379293860326,0.900874594864441,2.43809350555029,0.882302353780927,2.2617506037146,18,15
"43","GRSM_049","GRSM",102,17,0.642602101831446,1.35721519535705,0.622223043680278,1.2313607322025,0.622021897848676,1.21405491823812,15,11
"44","GRSM_050","GRSM",93,13,0.563857876201461,1.21507506226449,0.542429660291872,1.04760879258439,0.542429660291872,1.04760879258439,11,10
"45","GRSM_051","GRSM",107,15,0.818176018951709,2.02502973431886,0.713503471593351,1.50854296491913,0.695770302099959,1.35217672016913,9,7
"46","GRSM_052","GRSM",208,22,0.858478705222081,2.15034153115313,0.825149022716592,1.90815630633512,0.804354716503938,1.69873160791012,16,11
"47","GRSM_053","GRSM",170,10,0.33273689299694,0.804902522251445,0.327662087455169,0.711352597406566,0.327662087455169,0.711352597406566,8,8
"48","GRSM_054","GRSM",82,14,0.672746128690662,1.40230898182708,0.665845622728228,1.35389840503505,0.665845622728228,1.35389840503505,13,12
"49","GRSM_055","GRSM",76,14,0.573282189936728,1.25671304202265,0.5698430719495,1.21747271816193,0.5698430719495,1.21747271816193,13,12
"50","GRSM_056","GRSM",143,21,0.856459077838096,2.26897181245899,0.80263918416586,1.90909944713149,0.777793207928292,1.66480702773453,16,10
"51","GRSM_057","GRSM",142,17,0.73171960826998,1.72808908296985,0.72850866906821,1.69264574191127,0.717691059151655,1.63736065633801,15,14
"52","GRSM_058","GRSM",98,14,0.645482370754275,1.53616590127654,0.630599103342914,1.36092486004754,0.630599103342914,1.36092486004754,10,10
"53","GRSM_059","GRSM",106,17,0.796464031453173,1.83656450366122,0.78876158737942,1.77911376179943,0.78328897958032,1.6724887853131,13,9
"54","GRSM_060","GRSM",157,18,0.622657010574048,1.47621319289472,0.586887873357511,1.35886673975408,0.584640319322842,1.30817202715365,16,13
"55","GRSM_061","GRSM",159,19,0.838213840026229,2.14649204951492,0.817382709922591,1.95088691196371,0.801820374935239,1.76323137371943,15,10
"56","GRSM_062","GRSM",138,18,0.78234339960603,1.85860025060091,0.675359069239755,1.39276369646074,0.665457015635087,1.24340014429794,13,9
"57","GRSM_063","GRSM",127,16,0.604999707816193,1.36642460578596,0.581732847336353,1.21608686714711,0.581732847336353,1.21608686714711,13,13
"58","GRSM_064","GRSM",114,16,0.722366311009548,1.6486094749052,0.686956920895944,1.46222839548415,0.682891496298746,1.39984894809129,13,12
"59","GRSM_065","GRSM",83,17,0.781245958791603,1.89953326346208,0.77954530133703,1.84799702691669,0.773058809416655,1.74246614677066,14,11
"60","GRSM_066","GRSM",68,20,0.852229154779436,2.27862402178449,0.842155291387186,2.13127854529764,0.842150177804469,2.12906253829035,16,15
"61","HARV_033","HARV",255,13,0.798505962867216,1.78760532713295,0.795336469840833,1.75481964513967,0.695587561981541,1.33118042536339,10,7
"62","HARV_034","HARV",235,11,0.426388189510227,0.916414360038737,0.423538053185636,0.897686581882537,0.259784889196076,0.548927557617585,8,6
"63","HARV_035","HARV",407,11,0.636305864539059,1.33861043143722,0.584836331755686,1.05493368041057,0.584389484774579,1.03580573335149,8,7
"64","HARV_036","HARV",526,22,0.806089688141033,1.86740335629338,0.714102694515306,1.46730793489823,0.70920227997449,1.39901949003679,15,10
"65","HARV_037","HARV",183,7,0.495147354460362,1.0285106811405,0.495147354460362,1.0285106811405,0.48041123548852,0.973084518571204,7,6
"66","HARV_038","HARV",244,12,0.763303010143447,1.68200299624543,0.747786009828254,1.53118581832,0.647268281353522,1.16254560151235,9,7
"67","HARV_039","HARV",252,11,0.774130542188359,1.67654311091657,0.772783342484505,1.64726326353918,0.697309663131588,1.2662619463214,8,5
"68","HARV_040","HARV",161,8,0.687956584407611,1.4215301676935,0.69504250025528,1.46838855680364,0.670850948824716,1.31592303906318,8,7
"69","HARV_041","HARV",273,17,0.709864767691159,1.77656546544975,0.699344525088976,1.61760026716043,0.608938403249944,1.31620012900035,12,10
"70","HARV_042","HARV",198,11,0.697179125365923,1.34728260059448,0.697148879835129,1.34347275225841,0.597337087406079,1.02068904646448,10,7
"71","HARV_043","HARV",211,8,0.64510484640437,1.36213136230966,0.643991902460755,1.33167067708346,0.583110373673634,1.07871458255276,7,5
"72","HARV_044","HARV",281,17,0.621445564825462,1.49057862468293,0.60143140941545,1.32534338799917,0.589979919784718,1.17953673482167,12,9
