"","plotid","siteid","n","richness","simpsons.taxon","shannon.taxon","simpsons.genus","shannon.genus","simpsons.fam","shannon.fam","genus.rich","family.rich","plot","mean.height","height.2","mean.height.var","mean.height.rms","mode.el","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","mean.peak.vai","deep.gaps","deep.gap.fraction","porosity","std.std","mean.std","rugosity","top.rugosity","mean.return.ht","sd.return.ht","sky.fraction","cover.fraction","max.ht","scan.density","rumple","clumping.index","enl"
"1","BART_033","BART",176,9,0.595632978878566,1.07219556778638,0.605764097123684,1.10665921672787,0.605764097123684,1.10665921672787,7,6,NA,10.1174987496667,3.096285819,9.74603692733333,10.57477166,10.05,4.70669506233333,4.60419785566667,21.249,14.454975,7.709448127,2.81111278,0,0,0.594728535333333,208.977265566667,11.6657999666667,8.18366026966667,3.23014267433333,6.49720383133333,3.633561671,0.846309015333333,99.1536909866667,21.6143333333333,311.583333333333,3.65,0.832101620666667,15.8531289066667
"2","BART_034","BART",163,6,0.72982419878831,1.44941144709643,0.72982419878831,1.44941144709643,0.720119514929239,1.38564406600902,6,5,NA,10.041084711,3.33185155066667,11.3859890003333,10.569109229,9.91666666666667,7.16505234166667,4.52227705266667,23.9393333333333,13.3582083333333,7.65523613333333,3.42905896333333,0,0,0.715901234666667,174.0333435,9.47541818866667,8.96254119533333,4.94367751266667,7.038832091,3.656668232,1.25274658733333,98.7472534133333,23.9393333333333,302.991666666667,4.26666666666667,0.861145523666667,15.67618051
"3","BART_036","BART",147,9,0.695938996626124,1.45986059057575,0.674551552600918,1.28040941198712,0.672208235346682,1.2382764332111,6,4,NA,8.40253749133333,3.063505383,9.70996732566667,8.94139026666667,7.75833333333333,5.82719701233333,4.906421758,21.4173333333333,13.9254083333333,7.294269211,2.94537767766667,0,0,0.631346618333333,361.4320999,14.46049278,11.9154256476667,4.517199202,5.349938295,3.66114440266667,2.72781971733333,97.2721802833333,21.4173333333333,335.45,4.49166666666667,0.854698279333333,16.1951237066667
"4","BART_037","BART",174,8,0.643944034468769,1.34653050329417,0.621343865620594,1.18691238430542,0.621343865620594,1.18691238430542,6,5,NA,11.8276951266667,3.807070847,14.7497553663333,12.4329378066667,12.025,5.67881341066667,5.37334380966667,23.118,16.5854166666667,7.522056497,2.84648280733333,0,0,0.630594203,277.600684133333,13.5402801666667,9.02337514233333,3.838469773,8.15055246666667,4.35422942633333,1.46488499833333,98.5351150033333,23.118,306.683333333333,3.98333333333333,0.861650522333333,17.9228958833333
"5","BART_039","BART",170,9,0.732977911695633,1.50014046284595,0.7033490803676,1.30339026306779,0.695419710772878,1.25360402680702,7,5,NA,8.80221144733333,3.365406159,11.5124857183333,9.41690492133333,7.95,6.93941531466667,4.64053834233333,21.229,12.9739416666667,6.96604316566667,3.06466224933333,0,0,0.659522947,189.413923516667,9.682652683,9.397052683,4.34232601866667,6.01489882666667,3.77371730633333,4.751720267,95.2482797333333,21.229,329.616666666667,4.39166666666667,0.868410158,15.6348447966667
"6","BART_040","BART",90,14,0.697187150084908,1.51916336557674,0.509498704691294,1.0689485370789,0.508013226556177,1.02794301067333,11,8,NA,9.38990901066667,3.442000769,12.1245862723333,10.0011298116667,9.025,6.02285183966667,5.034328938,23.8616666666667,14.63205,7.26576069833333,2.82226582066667,0,0,0.642467948666667,337.1816441,13.5248700166667,12.1876701933333,5.36378205133333,6.24382031633333,4.08382472966667,2.65119376566667,97.3488062333333,23.8616666666667,317.3,4.975,0.858499097,17.6435779633333
"7","BART_041","BART",150,8,0.766795295895213,1.63223694887134,0.735258031575875,1.41134399738992,0.728480354924449,1.34543682616785,5,4,NA,10.269870327,3.74671522733333,14.0389286666667,10.9203354613333,10.75,7.174696982,5.67153311533333,22.737,14.3507166666667,7.78913166566667,3.117886846,0,0,0.676363880333333,336.4074957,13.1926037733333,12.21382616,5.18778543033333,6.48238559166667,3.901085686,0.860626278666667,99.1393737233333,22.737,292.916666666667,4.53333333333333,0.896238679666667,17.3937784366667
"8","BART_044","BART",156,6,0.641367296213119,1.2177495932095,0.638349229968529,1.16531996396558,0.638349229968529,1.16531996396558,5,4,NA,10.097161461,3.52953514166667,12.4617017966667,10.6826225633333,9.925,6.76581659333333,4.84007348433333,20.828,14.327,7.31289746333333,3.211055452,0,0,0.642875180333333,174.6626165,10.1461923333333,8.41506873466667,3.99047179633333,7.29470867666667,3.92338336666667,3.303107248,96.6968927533333,20.828,312.7,4.24166666666667,0.891199731333333,16.3755301233333
"9","BART_046","BART",229,12,0.749518671865885,1.60314072165702,0.713437534202692,1.40092965930553,0.713025350087844,1.39005880371589,9,7,NA,9.90355119366667,3.66443957366667,13.8460543986667,10.5623873966667,10.1083333333333,5.908560942,5.299867393,23.312,14.8419583333333,7.25065068366667,2.94314618433333,0,0,0.676855072333333,339.0511145,13.55117602,12.0364692943333,5.03938184066667,6.78002520266667,4.112472732,3.11831635966667,96.8816836433333,23.312,321.791666666667,5.275,0.892573810333333,17.9420387433333
"10","BART_047","BART",370,20,0.712719111829863,1.55905159698344,0.653985782357973,1.27819884427969,0.651918352146564,1.22871906843043,13,10,NA,8.192536055,2.88348689166667,8.35715828033333,8.679003515,7.78333333333333,6.58712114733333,4.24742244233333,21.6963333333333,12.7357833333333,7.311733297,3.067350338,0,0,0.662408424666667,167.541916033333,9.03030545133333,8.83224760633333,3.95443645766667,5.581737066,3.236810095,2.48130732366667,97.5186926766667,21.6963333333333,309.716666666667,4.31666666666667,0.841419540666667,14.6879550266667
