plot,siteid,plotid,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
ARNO_01_1.CSV,ARNO,ARNO_01,14.42705272,6.697682356,44.85894895,15.87064351,40,14.15,6.463405925,8.928634432,32.303,20.91895,7.745007744,3.424439627,0,0,0.771212121,2390.880111,27.56780098,40.3843591,8.211411771,ARNO_01_1.CSV,10.27041431,7.065671356,0.548932631,99.45106737,32.303,451,6.65,0.970974094,28.06276923
ARNO_01_2.CSV,ARNO,ARNO_01,18.58610485,7.725355152,59.68111222,20.09060422,40,18.575,6.547520348,9.369583906,32.401,23.748325,7.420653046,3.191320837,0,0,0.746969697,1745.213988,27.13415186,31.76400149,8.893726488,ARNO_01_2.CSV,13.8174734,9.095829586,1.508733244,98.49126676,32.401,430.95,7.35,0.893379708,22.42782469
ARNO_01_3.CSV,ARNO,ARNO_01,10.12379218,5.967164076,35.60704711,11.71358353,40,9.05,7.823737271,6.48449828,31.303,15.10875,7.688239382,3.925566406,0,0,0.83203125,1839.633898,23.66580006,35.77099111,9.077887868,ARNO_01_3.CSV,7.461997745,6.502581369,1.724324324,98.27567568,31.303,462.625,8.3,0.877621464,16.57404087
ARNO_01_4.CSV,ARNO,ARNO_01,16.23696026,6.453032683,41.64163081,17.44842906,50,14.7,8,7.949457689,34.928,21.11864,7.916605986,4.463857112,0,0,0.825,1417.831627,23.85813813,29.13109803,7.837017922,ARNO_01_4.CSV,12.17613314,7.685273868,0.273323615,99.72667638,34.928,329.4,5.58,0.948299531,24.89962359
ARNO_01_5.CSV,ARNO,ARNO_01,21.13027718,4.962485866,24.62626597,21.69099406,40,21.375,5.862895552,5.650901902,32.703,24.42765,7.921050215,3.325652729,0,0,0.775735294,401.1941924,13.90739468,14.41452621,5.556401707,ARNO_01_5.CSV,17.07197698,6.651067298,1.221155466,98.77884453,32.703,296.975,5.5,0.901307488,21.45905421
ARNO_02_1.CSV,ARNO,ARNO_02,16.31911575,5.585102242,31.19336705,17.22576767,40,16.525,8,7.362369671,29.443,20.7672,7.480802427,3.719633336,0,0,0.754166667,842.3534156,20.23052967,20.81055225,6.504820324,ARNO_02_1.CSV,12.15406212,6.56581967,2.46186591,97.53813409,29.443,352.5,5.475,0.927230545,22.27412337
ARNO_02_2.CSV,ARNO,ARNO_02,20.6064367,7.364492784,54.23575396,21.85188993,40,21.35,6.575711508,8.833357523,31.452,25.4796,7.316005376,3.099045836,0,0,0.734375,1699.934397,24.27599878,33.32582002,6.416803729,ARNO_02_2.CSV,16.98637323,8.934261893,2.474270407,97.52572959,31.452,354.775,4.25,0.888980176,20.91172214
ARNO_02_3.CSV,ARNO,ARNO_02,16.0105697,5.053369233,25.53654061,16.77010641,40,16.075,7.354609717,6.115920796,30.054,20.647575,7.344514813,3.3377381,0,0,0.723387097,620.5519989,15.35192559,19.61811356,7.081987957,ARNO_02_3.CSV,12.74943073,6.492685203,1.698754247,98.30124575,30.676,353.325,5.625,0.953599994,25.31719389
ARNO_02_4.CSV,ARNO,ARNO_02,14.6779939,7.52250856,56.58813504,16.4504388,40,15.05,7.985106144,8.070045912,31.7,18.23605,7.921019362,3.722602939,0,0,0.768939394,652.7855878,17.23960775,18.8568691,9.116906189,ARNO_02_4.CSV,10.78012516,8.34693985,0.350917563,99.64908244,31.807,434.7,7.75,0.955838456,26.03554436
ARNO_02_5.CSV,ARNO,ARNO_02,17.02941399,6.788573166,46.08472562,18.30118981,40,17.3,7.847751777,7.656738276,32.881,23.0282,7.403434895,3.504259943,0,0,0.781617647,1168.810513,23.54651266,24.78653374,8.061421562,ARNO_02_5.CSV,12.85263175,8.203981224,3.170496932,96.82950307,32.881,415.675,7.275,0.965001807,27.6084507
ARNO_03_1.CSV,ARNO,ARNO_03,6.253832866,3.762756437,14.158336,7.27425619,40,6,8,4.248680036,23.743,9.6544,6.786028302,3.822959522,0,0,0.802,190.6720537,7.599057732,11.52937012,6.225603341,ARNO_03_1.CSV,4.050099435,3.628872761,4.951749095,95.0482509,23.743,414.625,6.15,0.809087543,11.53737493
