,plot,aPAR_mean,bPAR_mean,tau_mean,LAI_mean,aPAR_sd,bPAR_sd,tau_sd,LAI_sd,Leaf.Distribuition...._sd,Beam.Fraction..Fb._sd,Zenith.Angle_sd,Latitude_sd,Longitude_sd,fPAR_sd,regime_sd
1,ARNO01,1063.2,54.28333333,0.055833333,5.048333333,152.0081577,25.20162032,0.021046773,0.364495085,0,0.159874951,0.98319208,0,0,0.020033676,0.547722558
2,ARNO02,619.68,53.84,0.1206,3.736,476.3292947,28.7899809,0.10083303,1.628658958,0,0.358984679,0.836660027,0,0,0.235204757,0.447213595
3,ARNO03,497.4833333,14.96666667,0.083666667,3.945,641.8310538,11.13439117,0.074128717,1.634450978,0,0.421331224,1.378404875,0,0,0.072945908,0.516397779
4,ARNO04,926,34.36,0.0458,4.908,312.8110532,6.485213952,0.017020576,0.828565025,0,0.324992308,1.870828693,0,0,0.011300044,0.547722558
5,ARNO05,541.7,30.5,0.096,3.84,668.2159082,30.12274888,0.050911688,1.965756852,0,0.296984848,0.707106781,0,0,0.057893122,0.707106781
6,ARNO06,707.4,11.06666667,0.05,5.173333333,188.69531,0.907377173,0.054744863,0.806866366,0,0.172143351,0,0,0,0.005060169,0
7,ARNO11,449.675,5.8,0.01625,5.04,204.1340307,3.009983389,0.00670199,0.466404688,0,0.245950537,1.414213562,0,0,0.0049723,0
8,ARNO12,1044.4,26.16,0.0274,4.938,247.9038221,9.489625915,0.011436783,0.65388837,0,0.104307238,1.140175425,0,0,0.011353932,0.547722558
9,ARNO35,1165.7,38.1,0.0368,6.252,268.869513,19.47780788,0.023857913,1.499073047,0,0.25232915,0.547722558,0,0,0.023474087,0.547722558
10,ARNO36,1210.95,15.575,0.0125,6.6225,476.0370189,9.460223746,0.005066228,0.94150146,0,0.351520507,1.5,0,0,0.005446893,0.5
11,GRSM50,1712.066667,38,0.017333333,6.713333333,183.0839789,3.351119216,0.004932883,0.44613152,0,0.005773503,2,0,0,0.003465418,0
12,GRSM53,1907.95,52.65,0.027,8.375,56.92209589,8.980256121,0.004242641,0.473761543,0,0.014142136,0.707106781,0,0,0.00388521,0
13,GRSM55,1990.9,71.36666667,0.035,8.76,17.54536976,40.8677542,0.020420578,0.400374824,0,0,0.577350269,0,0,0.020564864,0
14,GRSM57,1773.833333,82.06666667,0.044,8.296666667,49.67860036,96.32327514,0.052,1.053960784,0,0.011547005,1,0,0,0.053371155,0
15,GRSM61,1601.433333,57.96666667,0.036,5.34,73.75922541,33.81454322,0.02007486,0.444409721,0,0,1.527525232,0,0,0.02020799,0
16,GRSM64,1586.866667,23.4,0.014333333,8.326666667,110.8065582,6.390618123,0.004932883,0.682959247,0,0.051961524,0.577350269,0,0,0.004563352,0
17,GRSM65,1808.95,43.05,0.0235,8.32,79.54951288,9.687362902,0.006363961,0.721248917,0,0.028284271,0.707106781,0,0,0.006407981,0
18,GRSM66,1537.1,38.66666667,0.021,7.26,145.6361562,26.37694701,0.021,1.196536669,0,0.065574385,0.577350269,0,0,0.016767599,0
19,HARV33,260.6,15.8,0.112,3.015,251.0229073,6.788225099,0.03959798,0.799030663,0,0.035355339,0.707106781,0,0,0.060351146,0
20,HARV34,108.3,23.1,0.218,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,HARV35,86.7,24.95,0.3005,1.535,17.96051224,6.01040764,0.126572114,0.459619408,0,0,0.707106781,0,0,0.131765882,0
22,HARV36,44.5,15.45,0.37,1.21,24.32447327,5.303300859,0.0834386,0.240416306,0,0,0,0,0,0.083006052,0
23,HARV37,617.7666667,64.53333333,0.278666667,2.636666667,378.4189389,15.67460792,0.207051523,1.835329217,0,0.34961884,1.527525232,0,0,0.128330989,0.577350269
24,HARV38,173.8,20.875,0.40975,1.7075,186.6584224,5.75405654,0.403281849,1.557013702,0,0.01,1,0,0,0.167351989,0
25,HARV39,708.9,64.2,0.096,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,HARV41,1123.8,46.6,0.045333333,4.813333333,186.3230528,18.01443865,0.026501572,1.075003876,0,0.157162336,0.577350269,0,0,0.024850905,0.577350269
27,HARV42,595.6,46.45,0.079,3.315,192.8987299,3.464823228,0.041012193,0.714177849,0,0.190918831,2.121320344,0,0,0.020517083,0
28,HARV43,29.7,20,0.732,0.42,14.42497834,6.222539674,0.134350288,0.254558441,0,0,0,0,0,0.133269248,0
29,HARV44,119.1333333,39.03333333,0.373333333,1.406666667,30.52168628,12.69107298,0.197021149,0.722311106,0,0,1,0,0,0.225482341,0
30,HARV45,58.5,21.9,0.2825,1.495,7.919595949,10.18233765,0.012020815,0.06363961,0,0,0.707106781,0,0,0.124518224,0
31,HARV47,834.15,55.95,0.1035,3.645,594.888935,0.353553391,0.084145707,1.689985207,0,0.459619408,0,0,0,0.064716813,0.707106781
32,HARV48,296.25,16.15,0.229,2.66,359.9880623,2.899137803,0.288499567,2.276883835,0,0.014142136,0,0,0,0.290516031,0
33,HARV49,44.4,6.8,0.148,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,HARV50,204.6,18.15,0.1175,2.73,127.844906,3.889087297,0.094045202,1.032375901,0,0.014142136,0.707106781,0,0,0.092495839,0
35,HARV51,862.6333333,32.56666667,0.044666667,4.706666667,313.0716425,14.87088879,0.025658007,0.454899256,0,0.311822599,0.577350269,0,0,0.021248688,0.577350269
36,HARV52,199.6666667,13.53333333,0.072333333,3.533333333,63.19970991,4.829423706,0.031564748,0.353600528,0,0,0,0,0,0.004437835,0
37,MLBS69,1513.6,183.2,0.122,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,MLBS74,1470.3,169.7,0.118,4.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,OSBS28,2094.433333,1572.933333,0.742333333,0.966666667,40.02903113,286.1294521,0.135901925,0.57726366,0,0,0,0,0,0.149108005,0
40,OSBS29,1964.133333,1206.8,0.609333333,1.42,47.68913224,96.78310803,0.04441096,0.117898261,0,0.005773503,0,0,0,0.049371422,0
41,OSBS30,1917.2,1294.366667,0.675,0.953333333,25.56931755,219.3359372,0.124,0.453468117,0,0,2.081665999,0,0,0.124132541,0
