,plotid,npp_mc,npp_mc
1,HARV_041,3.377638554,7.478105635
2,HARV_041,28.80267362,8.061991426
3,HARV_041,30.0120403,8.545820672
4,HARV_041,56.27808218,6.507968964
5,HARV_041,163.3510663,7.638417617
6,HARV_041,28.81557652,8.569415347
7,HARV_041,103.8694184,7.414721231
8,HARV_041,140.6877107,6.876781199
9,HARV_041,87.67478723,9.464311363
10,HARV_041,41.16823023,6.791806911
11,HARV_041,2.679465243,7.045917343
12,HARV_041,5.365891085,7.636505586
13,HARV_041,73.5973668,9.925256707
14,HARV_041,59.96201973,7.875063228
15,HARV_041,13.75444318,8.365134373
16,HARV_041,13.91833797,8.376008082
17,HARV_041,39.67539355,6.425198234
18,HARV_041,45.58124477,7.375168972
19,HARV_041,24.46556961,8.107738962
20,HARV_041,148.346852,7.462342058
21,HARV_041,27.64660195,6.935737364
22,HARV_041,28.89890545,6.422737778
23,HARV_041,15.84926891,7.011308862
24,HARV_041,13.06481863,7.241123255
25,HARV_041,4.251000488,6.177211762
26,HARV_041,27.93249712,5.835354831
27,HARV_041,0.002252269,7.498158188
28,HARV_041,47.24497467,9.929898583
29,HARV_041,4.111572401,6.832148103
30,HARV_041,96.82988524,7.464451486
31,HARV_041,25.49661209,6.405442559
32,HARV_041,23.73701774,8.698033161
33,HARV_041,33.58230975,8.961491103
34,HARV_041,1.779461763,6.921080127
35,HARV_041,10.36439867,7.188161971
36,HARV_041,5.62288056,6.998696297
37,HARV_041,27.85396369,6.136767457
38,HARV_041,38.62007425,8.31382892
39,HARV_041,5.004919891,8.26071804
40,HARV_041,20.77268956,6.320166491
41,HARV_041,3.804489959,9.591623917
42,HARV_041,60.83556806,8.330860695
43,HARV_041,121.3037003,7.250060339
44,HARV_041,89.54808844,7.42264769
45,HARV_041,24.34326129,6.63596057
46,HARV_041,36.81229368,7.06380348
47,HARV_041,53.71599749,5.528518984
48,HARV_041,30.92434485,8.079315608
49,HARV_041,46.23404285,6.468520485
50,HARV_041,46.77833972,7.999519935
51,HARV_041,86.44799399,5.888970608
52,HARV_041,33.90162134,9.333612554
53,HARV_041,3.997086043,7.550077462
54,HARV_041,38.11528104,6.320531264
55,HARV_041,24.68504221,8.787418913
56,HARV_041,74.6772463,7.527514589
57,HARV_041,18.96726092,8.456764713
58,HARV_041,30.19438435,5.142931575
59,HARV_041,123.6110407,5.092160034
60,HARV_041,49.58910092,6.832909663
61,HARV_041,33.01280725,7.789834454
62,HARV_041,70.72260887,12.61503116
63,HARV_041,72.28366141,6.884592519
64,HARV_041,108.8091799,5.88177092
65,HARV_041,32.41193023,6.867645238
66,HARV_041,23.99296302,6.689677785
67,HARV_041,7.800916266,6.281816127
68,HARV_041,67.45246147,5.79378893
69,HARV_041,110.1854637,8.361300794
70,HARV_041,15.48257388,7.072972621
71,HARV_041,19.20467425,7.938942532
72,HARV_041,20.6945864,7.859510119
73,HARV_041,63.90183852,7.745517409
74,HARV_041,60.65222592,6.439330814
75,HARV_041,7.700072651,7.103560527
76,HARV_041,7.199659807,9.034760278
77,HARV_041,10.34322766,5.751147672
78,HARV_041,46.60276378,5.934775666
79,HARV_041,61.76494422,6.860060179
80,HARV_041,51.64067422,6.438980448
81,HARV_041,51.87834598,12.02459525
82,HARV_041,110.7021514,7.37222651
83,HARV_041,14.42108707,8.829595668
84,HARV_041,11.6969177,6.267450822
85,HARV_041,29.52421797,6.081571266
86,HARV_041,1.118803695,6.57018765
87,HARV_041,47.09682479,6.33742194
88,HARV_041,31.9904839,8.129752966
89,HARV_041,45.08540779,5.505432052
90,HARV_041,58.62169454,7.767318125
91,HARV_041,20.61628998,8.012706722
92,HARV_041,15.77230504,8.654895269
93,HARV_041,98.20002626,8.268405704
94,HARV_041,23.01239699,8.236067661
95,HARV_041,18.85637449,6.555814128
96,HARV_041,65.42897312,8.10654342
97,HARV_041,1.770804265,6.099192383
98,HARV_041,68.00188829,8.657679871
99,HARV_041,50.10787767,6.529602816
100,HARV_041,30.06200732,9.175120707
101,HARV_041,13.43969233,9.9906623
102,HARV_041,100.7930706,8.733664309
103,HARV_041,35.69557657,5.013489206
104,HARV_041,35.66071203,15.54740558
105,HARV_041,193.2705209,8.709013068
106,HARV_041,172.0150354,6.448608932
107,HARV_041,18.56331463,6.830158886
108,HARV_041,21.35953024,5.912113842
109,HARV_041,92.41959266,8.522891013
110,HARV_041,46.88897958,5.900333819
111,HARV_041,90.77760774,8.56732074
112,HARV_041,0.846905482,6.066827659
113,HARV_041,96.78236652,6.795769903
114,HARV_041,43.65328722,7.560378293
115,HARV_041,14.44192572,6.294810728
116,HARV_041,13.12887404,8.183580757
117,HARV_041,6.699005029,9.204472432
118,HARV_041,64.6996577,9.435178331
119,HARV_041,48.40473023,10.40195638
120,HARV_041,6.48819596,6.665027662
121,HARV_041,31.58511892,7.533047602
122,HARV_041,76.99590027,8.683304132
123,HARV_041,17.20299388,7.532030258
124,HARV_041,0.055114835,7.56353002
125,HARV_041,50.74533472,9.197150246
126,HARV_041,35.90152501,6.471476869
127,HARV_041,29.52739154,7.065486382
128,HARV_041,27.06027243,6.822057418
129,HARV_041,17.98839886,7.069769518
130,HARV_041,60.83384373,8.445625213
131,HARV_041,34.20077219,8.571236705
132,HARV_041,13.54490297,8.613128779
133,HARV_041,26.1485253,6.257273431
134,HARV_041,16.8125961,5.431974975
135,HARV_041,37.82887218,6.63386507
136,HARV_041,17.81812152,6.699808495
137,HARV_041,175.659091,7.778419796
138,HARV_041,36.71899284,8.210637783
139,HARV_041,23.45047621,5.714986989
140,HARV_041,22.30417972,8.324484537
