"","plotid","npp_mc"
"1","TREE_050",1.24605906176337
"2","TREE_050",0.910997661574595
"3","TREE_050",0.855364644734614
"4","TREE_050",1.1771500000761
"5","TREE_050",1.2428709015189
"6","TREE_050",1.2259567746106
"7","TREE_050",1.22096003105049
"8","TREE_050",1.04797312197045
"9","TREE_050",0.984940807902481
"10","TREE_050",1.29775871198069
"11","TREE_050",1.59777616064565
"12","TREE_050",1.56619087665352
"13","TREE_050",1.16317383742308
"14","TREE_050",1.14499677049972
"15","TREE_050",1.25611339606153
"16","TREE_050",1.14622878608195
"17","TREE_050",1.06015121965495
"18","TREE_050",1.22577206365433
"19","TREE_050",1.17002618080711
"20","TREE_050",1.28053928337504
"21","TREE_050",1.01385740000892
"22","TREE_050",1.08203004388118
"23","TREE_050",1.06312584211318
"24","TREE_050",1.08445985794334
"25","TREE_050",0.977703973365118
"26","TREE_050",1.27555120015004
"27","TREE_050",1.31674133720391
"28","TREE_050",1.08513767019605
"29","TREE_050",1.49725576796118
"30","TREE_050",1.26496588908323
"31","TREE_050",1.35663033577528
"32","TREE_050",1.26575443200392
"33","TREE_050",1.07320947018502
"34","TREE_050",1.4150227387688
"35","TREE_050",1.50441500262252
"36","TREE_050",1.13802540841117
"37","TREE_050",1.45819160373761
"38","TREE_050",1.14581059396683
"39","TREE_050",1.13332328685053
"40","TREE_050",1.37610292213547
"41","TREE_050",0.992648396747775
"42","TREE_050",1.44403024074529
"43","TREE_050",1.25167454491837
"44","TREE_050",1.37625525575261
"45","TREE_050",1.23061139360596
"46","TREE_050",1.31618830597058
"47","TREE_050",1.21922851325229
"48","TREE_050",1.12083614588395
"49","TREE_050",1.21842252160468
"50","TREE_050",1.4948650343199
"51","TREE_050",1.03132711545151
"52","TREE_050",1.56320584666894
"53","TREE_050",1.44301573779516
"54","TREE_050",1.23552810730899
"55","TREE_050",1.46701104233039
"56","TREE_050",1.08114620630936
"57","TREE_050",1.66716939814885
"58","TREE_050",1.52029216835273
"59","TREE_050",1.24713294801813
"60","TREE_050",1.74131709315478
"61","TREE_050",1.15810092597928
"62","TREE_050",1.1656436818099
"63","TREE_050",1.21972517423188
"64","TREE_050",1.1476137251492
"65","TREE_050",1.58341930267533
"66","TREE_050",0.868381194091529
"67","TREE_050",1.54876111978493
"68","TREE_050",1.27618051802291
"69","TREE_050",1.22110167845635
"70","TREE_050",1.91174934990916
"71","TREE_050",1.35573765154291
"72","TREE_050",1.11789619571012
"73","TREE_050",1.32245937643135
"74","TREE_050",1.3392139368172
"75","TREE_050",1.46441682291795
"76","TREE_050",1.20653641460035
